Test,Stat,p,EGT_support
"Spearman rho (PL,MGT)",0.030,0.7201,NO
JT trend,z=-0.044,0.5176,YES
PLS beta(PL->MGT),0.099,"CI[-0.082,0.255]",NO
Group means,"{'None': 4.27, 'Info': 4.1, 'Consult': 4.3}",KW p=0.690,Ambiguous
Cohen's d (Consult-None),d=0.041,,NO
