Metric,Value
Kruskal-Wallis H,10.9959
Kruskal-Wallis p,0.0041
Effect size ε²,0.0833
Spearman ρ (Q24↔Q25),0.3089
Spearman p,0.0010
Kendall τ,0.2780
Kendall p,0.0011
PLS β (Participation→Sat),0.2987
PLS p-value,0.0079
PLS 95% CI,"[0.0514, 0.4584]"
PLS R²,0.0892
PLS Q²,0.0165
XGBoost CV R²,0.0422 ± 0.2507
Top SHAP feature,q24
Expectation Gap confirmed,False
